1 x 1, 0.005
1 x 1, 0.005
2 x 1, 0.005
2 x 2, 0.006
3 x 2, 0.006
3 x 3, 0.007
4 x 3, 0.008
4 x 4, 0.008
5 x 4, 0.009
5 x 5, 0.006
6 x 5, 0.007
6 x 6, 0.008
7 x 6, 0.009
7 x 7, 0.01
8 x 7, 0.011
8 x 8, 0.012
9 x 8, 0.013
9 x 9, 0.007
10 x 9, 0.008
10 x 10, 0.008
11 x 10, 0.008
11 x 11, 0.009
12 x 11, 0.009
12 x 12, 0.01
13 x 12, 0.011
13 x 13, 0.013
14 x 13, 0.013
14 x 14, 0.014
15 x 14, 0.015
15 x 15, 0.016
16 x 15, 0.018
16 x 16, 0.018
17 x 16, 0.019
17 x 17, 0.02
18 x 17, 0.017
18 x 18, 0.018
19 x 18, 0.019
19 x 19, 0.023
20 x 19, 0.025
20 x 20, 0.027
21 x 20, 0.024
21 x 21, 0.024
22 x 21, 0.026
22 x 22, 0.027
23 x 22, 0.028
23 x 23, 0.03
24 x 23, 0.03
24 x 24, 0.032
25 x 24, 0.033
25 x 25, 0.034
26 x 25, 0.035
26 x 26, 0.037
27 x 26, 0.038
27 x 27, 0.04
28 x 27, 0.041
28 x 28, 0.043
29 x 28, 0.057
29 x 29, 0.062
30 x 29, 0.059
30 x 30, 0.05
31 x 30, 0.051
31 x 31, 0.052
32 x 31, 0.054
32 x 32, 0.056
33 x 32, 0.057
33 x 33, 0.059
34 x 33, 0.06
34 x 34, 0.063
35 x 34, 0.065
35 x 35, 0.067
36 x 35, 0.068
36 x 36, 0.069
37 x 36, 0.072
37 x 37, 0.068
38 x 37, 0.07
38 x 38, 0.072
39 x 38, 0.073
39 x 39, 0.083
40 x 39, 0.078
40 x 40, 0.087
41 x 40, 0.082
41 x 41, 0.083
42 x 41, 0.085
42 x 42, 0.087
43 x 42, 0.098
43 x 43, 0.1
44 x 43, 0.092
44 x 44, 0.094
45 x 44, 0.096
45 x 45, 0.099
46 x 45, 0.102
46 x 46, 0.114
47 x 46, 0.107
47 x 47, 0.118
